away_rank,home_rank,away_hist,home_hist,away_la10,home_la10,outcome
0.44083103083568353,0.5591689691643165,0.3698630136986301,0.6301369863013698,0.3,0.2,0
0.5096028034656511,0.4903971965343489,0.4931506849315068,0.5068493150684932,0.3,0.3,1
0.35926927942132175,0.6407307205786783,0.4421768707482993,0.5578231292517006,0.2,0.3,1
0.2875317361637938,0.7124682638362062,0.3767123287671233,0.6232876712328768,0.3,0.2,0
0.5243101464140878,0.4756898535859122,0.4896551724137931,0.5103448275862069,0.4,0.2,0
0.715732787321461,0.28426721267853905,0.6258503401360545,0.3741496598639456,0.2,0.3,1
0.4673992441678779,0.5326007558321221,0.541095890410959,0.4589041095890411,0.2,0.4,0
0.3816505767337318,0.6183494232662682,0.4383561643835616,0.5616438356164384,0.3,0.3,1
0.6599461584858792,0.34005384151412077,0.5793103448275863,0.4206896551724138,0.2,0.4,0
0.34062204265165297,0.659377957348347,0.3586206896551724,0.6413793103448275,0.4,0.3,0
0.3481782309465353,0.6518217690534647,0.4246575342465753,0.5753424657534246,0.4,0.2,0
0.477339093350696,0.522660906649304,0.5034013605442177,0.4965986394557823,0.3,0.4,1
0.5360195411732671,0.4639804588267329,0.6551724137931034,0.3448275862068966,0.3,0.4,0
0.4781139573597995,0.5218860426402006,0.5136986301369864,0.4863013698630137,0.2,0.4,0
0.564971607720865,0.43502839227913503,0.589041095890411,0.410958904109589,0.3,0.3,0
0.5955843626935766,0.4044156373064234,0.5782312925170068,0.4217687074829932,0.1,0.3,0
0.28706402129960196,0.712935978700398,0.3716216216216216,0.6283783783783784,0.3,0.2,1
0.51607872927918,0.48392127072082003,0.49324324324324326,0.5067567567567568,0.4,0.4,0
0.4727773166196658,0.5272226833803342,0.3493150684931507,0.6506849315068494,0.4,0.2,0
0.4121400044599269,0.5878599955400732,0.42567567567567566,0.5743243243243243,0.3,0.1,0
0.32626141763144256,0.6737385823685574,0.4013605442176871,0.5986394557823129,0.4,0.4,0
0.630212543995969,0.36978745600403096,0.5540540540540541,0.44594594594594594,0.4,0.3,0
0.32279386011805516,0.6772061398819449,0.38620689655172413,0.6137931034482759,0.4,0.4,0
0.5721648879793051,0.4278351120206949,0.6326530612244898,0.3673469387755102,0.2,0.0,0
0.6227305744351346,0.3772694255648654,0.5578231292517006,0.4421768707482993,0.4,0.3,0
0.4682244346522379,0.531775565347762,0.3469387755102041,0.6530612244897959,0.4,0.2,1
0.46604380906885334,0.5339561909311467,0.3835616438356164,0.6164383561643836,0.4,0.3,0
0.5365578841841364,0.4634421158158636,0.46258503401360546,0.5374149659863946,0.5,0.0,0
0.4335691118271414,0.5664308881728586,0.41496598639455784,0.5850340136054422,0.3,0.3,1
0.5402476359590863,0.4597523640409137,0.6190476190476191,0.38095238095238093,0.3,0.4,0
0.5240456335881981,0.4759543664118019,0.4897959183673469,0.5102040816326531,0.4,0.0,0
0.44666202868250066,0.5533379713174993,0.3716216216216216,0.6283783783783784,0.0,0.3,0
0.38434071235968364,0.6156592876403164,0.44594594594594594,0.5540540540540541,0.4,0.3,0
0.6776301263815541,0.32236987361844593,0.6164383561643836,0.3835616438356164,0.4,0.4,0
0.3000671042533822,0.6999328957466178,0.37583892617449666,0.6241610738255033,0.4,0.3,0
0.40105531630093383,0.5989446836990662,0.4228187919463087,0.5771812080536913,0.4,0.0,1
0.4982527275029677,0.5017472724970323,0.5100671140939598,0.4899328859060403,0.2,0.3,0
0.7033893557481893,0.2966106442518107,0.6266666666666667,0.37333333333333335,0.3,0.3,0
0.4766888474811404,0.5233111525188596,0.5135135135135135,0.4864864864864865,0.1,0.2,0
0.37849560244603103,0.6215043975539689,0.44966442953020136,0.5503355704697986,0.4,0.2,1
0.6447160238609659,0.35528397613903406,0.6438356164383562,0.3561643835616438,0.2,0.4,0
0.5613049770167717,0.43869502298322827,0.581081081081081,0.4189189189189189,0.3,0.3,0
0.501072292940424,0.498927707059576,0.49333333333333335,0.5066666666666667,0.3,0.1,0
0.47264061048287914,0.5273593895171209,0.5405405405405406,0.4594594594594595,0.1,0.2,0
0.47338258938427885,0.5266174106157211,0.38513513513513514,0.6148648648648649,0.0,0.2,0
0.36792818835565794,0.632071811644342,0.4217687074829932,0.5782312925170068,0.2,0.1,1
0.5764303590732762,0.4235696409267238,0.5733333333333334,0.4266666666666667,0.2,0.3,0
0.5322854463381977,0.46771455366180226,0.6486486486486487,0.35135135135135137,0.2,0.2,1
0.658362489689776,0.34163751031022405,0.6013513513513513,0.39864864864864863,0.0,0.3,0
0.5766881905258568,0.42331180947414315,0.6308724832214765,0.3691275167785235,0.2,0.2,1
0.6045674083833988,0.39543259161660116,0.5570469798657718,0.4429530201342282,0.0,0.3,0
0.34790366247039084,0.6520963375296092,0.3877551020408163,0.6122448979591837,0.3,0.3,0
0.3584121138612327,0.6415878861387674,0.36054421768707484,0.6394557823129252,0.3,0.3,0
0.3841577744490176,0.6158422255509823,0.42567567567567566,0.5743243243243243,0.3,0.3,0
0.5082063328072409,0.4917936671927591,0.4900662251655629,0.5099337748344371,0.3,0.0,0
0.6460214212335222,0.35397857876647776,0.6418918918918919,0.3581081081081081,0.3,0.3,0
0.6207229448596939,0.3792770551403061,0.5771812080536913,0.4228187919463087,0.3,0.2,0
0.4985193675910358,0.5014806324089642,0.5131578947368421,0.4868421052631579,0.0,0.3,0
0.4444780880381916,0.5555219119618084,0.4228187919463087,0.5771812080536913,0.2,0.3,0
0.5453128726490045,0.4546871273509955,0.6174496644295302,0.3825503355704698,0.2,0.0,0
